scenario,metric,metric_label,governed,comparator,n_pairs,difference_definition,mean_paired_difference,median_paired_difference,ci95_low,ci95_high,rank_biserial,wilcoxon_p_raw,wilcoxon_p_holm,holm_reject_0_05
S1,proposed_unsafe_actions,Proposed policy violations,agentic_governed,local_maxwave,10,positive_favors_governed,-15.6,-16.0,-18.0,-13.1,-1.0,0.001953125,0.021484375,True
S1,executed_unsafe_actions,Executed policy violations,agentic_governed,agentic_unguarded,10,positive_favors_governed,20.3,21.5,16.5,24.0,1.0,0.001953125,0.046875,True
S1,executed_unsafe_actions,Executed policy violations,agentic_governed,cloud_maxpressure,10,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S1,executed_unsafe_actions,Executed policy violations,agentic_governed,coordinated_maxpressure,10,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S1,executed_unsafe_actions,Executed policy violations,agentic_governed,fixed,10,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S1,executed_unsafe_actions,Executed policy violations,agentic_governed,local_maxwave,10,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S1,unsafe_actions_per_1000_decisions,"Executed violations per 1,000 decisions",agentic_governed,agentic_unguarded,10,positive_favors_governed,86.99712643678161,91.02011494252874,70.28804905582922,103.34772680623972,1.0,0.001953125,0.0078125,True
S2,mean_time_loss_s,Mean time loss (s),agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,0.0633008804018104,0.8943487255875553,-1.6315386280432174,1.765295970405619,0.009523809523809525,0.9854354858398438,1.0,False
S2,mean_time_loss_s,Mean time loss (s),agentic_governed,agentic_unguarded,20,positive_favors_governed,1.4812981353171046,1.581832228564437,-1.4070667635569556,4.322319235428471,0.3142857142857143,0.2305126190185547,1.0,False
S2,mean_time_loss_s,Mean time loss (s),agentic_governed,cloud_maxpressure,20,positive_favors_governed,30.111167394968056,28.990793366909706,26.359784388331484,33.970675052582315,1.0,1.9073486328125e-06,5.14984130859375e-05,True
S2,mean_time_loss_s,Mean time loss (s),agentic_governed,coordinated_maxpressure,20,positive_favors_governed,37.80801471496213,34.099862127285945,32.12079411506407,44.36844980225736,1.0,1.9073486328125e-06,5.14984130859375e-05,True
S2,mean_time_loss_s,Mean time loss (s),agentic_governed,fixed,20,positive_favors_governed,4.983229922210887,6.126815433654979,3.601632870737462,6.292271287123481,0.9523809523809523,1.9073486328125e-05,0.000362396240234375,True
S2,mean_time_loss_s,Mean time loss (s),agentic_governed,local_maxwave,20,positive_favors_governed,1.4342359539091933,1.8263181126711743,-0.7092183675127828,3.506746054868934,0.3523809523809524,0.17685317993164062,1.0,False
S2,p95_time_loss_s,P95 time loss (s),agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,7.838500000000002,9.980000000000004,-0.5740875000000007,16.019374999999997,0.4095238095238095,0.11398696899414062,1.0,False
S2,p95_time_loss_s,P95 time loss (s),agentic_governed,agentic_unguarded,20,positive_favors_governed,-3.6350000000000025,-2.989999999999995,-16.3088375,8.82621249999999,-0.14285714285714285,0.5958194732666016,1.0,False
S2,p95_time_loss_s,P95 time loss (s),agentic_governed,cloud_maxpressure,20,positive_favors_governed,102.283,98.7,82.087925,125.38885000000005,1.0,1.9073486328125e-06,5.14984130859375e-05,True
S2,p95_time_loss_s,P95 time loss (s),agentic_governed,coordinated_maxpressure,20,positive_favors_governed,140.51899999999998,110.55000000000001,107.70641249999997,175.86293750000002,1.0,1.9073486328125e-06,5.14984130859375e-05,True
S2,p95_time_loss_s,P95 time loss (s),agentic_governed,fixed,20,positive_favors_governed,-25.500499999999995,-27.89999999999999,-32.94187499999999,-17.907837500000007,-0.9333333333333333,3.62396240234375e-05,0.00072479248046875,True
S2,p95_time_loss_s,P95 time loss (s),agentic_governed,local_maxwave,20,positive_favors_governed,12.6465,16.12999999999998,1.6954374999999986,23.2456625,0.5333333333333333,0.03623390197753906,0.4710407257080078,False
S2,p95_trip_time_s,P95 trip time (s),agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,5.45,6.0,-1.3,13.0,0.3047619047619048,0.23210354142467327,1.0,False
S2,p95_trip_time_s,P95 trip time (s),agentic_governed,agentic_unguarded,20,positive_favors_governed,5.9,5.5,-4.15,16.0,0.29523809523809524,0.24681503143772787,1.0,False
S2,p95_trip_time_s,P95 trip time (s),agentic_governed,cloud_maxpressure,20,positive_favors_governed,121.4,103.5,99.2,148.15,1.0,8.832385863081277e-05,0.002374617423703541,True
S2,p95_trip_time_s,P95 trip time (s),agentic_governed,coordinated_maxpressure,20,positive_favors_governed,164.05,137.5,130.2,201.25249999999997,1.0,8.832385863081277e-05,0.002374617423703541,True
S2,p95_trip_time_s,P95 trip time (s),agentic_governed,fixed,20,positive_favors_governed,10.85,12.0,4.7,16.35,0.7714285714285715,0.002473342625160739,0.042046824627732564,True
S2,p95_trip_time_s,P95 trip time (s),agentic_governed,local_maxwave,20,positive_favors_governed,8.7,9.0,-0.85,18.2,0.4421052631578947,0.09092968495079874,0.923828125,False
S2,emergency_trip_time_s,Emergency trip time (s),agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,-21.8,-2.5,-63.45125,9.05,-0.06842105263157895,0.7935476070071992,1.0,False
S2,emergency_trip_time_s,Emergency trip time (s),agentic_governed,agentic_unguarded,20,positive_favors_governed,-20.55,1.5,-77.10125,25.302499999999963,0.09803921568627451,0.7224136449446921,1.0,False
S2,emergency_trip_time_s,Emergency trip time (s),agentic_governed,cloud_maxpressure,20,positive_favors_governed,24.25,33.0,-21.75125,65.15124999999999,0.5238095238095238,0.039989471435546875,0.4296875,False
S2,emergency_trip_time_s,Emergency trip time (s),agentic_governed,coordinated_maxpressure,20,positive_favors_governed,38.55,27.5,22.8,61.25,0.9714285714285714,0.00013919636333751571,0.00194874908672522,True
S2,emergency_trip_time_s,Emergency trip time (s),agentic_governed,fixed,20,positive_favors_governed,-293.6,-294.0,-310.40125,-267.99875000000003,-1.0,8.523520069295667e-05,0.00127852801039435,True
S2,emergency_trip_time_s,Emergency trip time (s),agentic_governed,local_maxwave,20,positive_favors_governed,10.2,0.0,-8.85,35.2,0.07352941176470588,0.7958203101052793,1.0,False
S2,completed_trips,Completed trips,agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,0.25,1.0,-1.25,1.45,0.2571428571428571,0.39379812516545176,1.0,False
S2,completed_trips,Completed trips,agentic_governed,agentic_unguarded,20,positive_favors_governed,1.75,1.0,-0.9012499999999989,4.55,0.3238095238095238,0.20259117358930467,1.0,False
S2,completed_trips,Completed trips,agentic_governed,cloud_maxpressure,20,positive_favors_governed,21.25,20.0,18.1,24.6,1.0,8.769942375590214e-05,0.0021720885156601547,True
S2,completed_trips,Completed trips,agentic_governed,coordinated_maxpressure,20,positive_favors_governed,15.6,16.0,13.05,18.0,1.0,8.757494073814436e-05,0.0021720885156601547,True
S2,completed_trips,Completed trips,agentic_governed,fixed,20,positive_favors_governed,10.75,11.0,9.1,12.2,1.0,8.354186598692902e-05,0.0021720885156601547,True
S2,completed_trips,Completed trips,agentic_governed,local_maxwave,20,positive_favors_governed,-0.55,1.0,-2.25,0.95,-0.005847953216374269,0.982468662008914,1.0,False
S2,max_total_queue,Maximum total queue,agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,0.55,0.5,-5.9,6.6,0.13157894736842105,0.614011036983508,1.0,False
S2,max_total_queue,Maximum total queue,agentic_governed,agentic_unguarded,20,positive_favors_governed,-0.55,2.0,-8.2,7.0,0.0,1.0,1.0,False
