scenario,controller,metric,metric_label,n_runs,estimate,ci95_low,ci95_high,summary_statistic
S2,agentic_unguarded,p95_time_loss_s,P95 time loss (s),20,160.41,147.195,178.225,median_of_run_values
S2,agentic_unguarded,p95_trip_time_s,P95 trip time (s),20,254.5,247.0,258.0,median_of_run_values
S2,agentic_unguarded,emergency_trip_time_s,Emergency trip time (s),20,381.15,331.79875,416.2,mean_of_runs
S2,agentic_unguarded,completed_trips,Completed trips,20,2012.1,2010.05,2013.85125,mean_of_runs
S2,agentic_unguarded,max_total_queue,Maximum total queue,20,101.3,96.55,106.1,mean_of_runs
S2,agentic_unguarded,max_spillback_duration_s,Maximum spillback duration (s),20,0.0,0.0,0.0,mean_of_runs
S2,agentic_unguarded,wan_application_bytes,WAN application bytes/h,20,408367.0,408218.44875000004,408520.25625,mean_of_runs
S2,agentic_unguarded,peer_application_bytes,Peer application bytes/h,20,1858401.85,1857870.27625,1858876.41875,mean_of_runs
S2,agentic_unguarded,proposed_unsafe_actions,Proposed policy violations,20,20.05,17.75,22.75,mean_of_runs
S2,agentic_unguarded,blocked_unsafe_actions,Blocked policy violations,20,0.0,0.0,0.0,mean_of_runs
S2,agentic_unguarded,executed_unsafe_actions,Executed policy violations,20,20.05,17.65,22.7,mean_of_runs
S2,agentic_unguarded,unsafe_actions_per_1000_decisions,"Executed violations per 1,000 decisions",20,83.04112704592406,73.00349346496107,93.89299453096032,mean_of_runs
S2,cloud_maxpressure,mean_time_loss_s,Mean time loss (s),20,83.7079693759408,80.07542471693553,87.75135103324136,mean_of_runs
S2,cloud_maxpressure,p95_time_loss_s,P95 time loss (s),20,255.72000000000003,233.215,294.885,median_of_run_values
S2,cloud_maxpressure,p95_trip_time_s,P95 trip time (s),20,357.0,326.5,391.0,median_of_run_values
S2,cloud_maxpressure,emergency_trip_time_s,Emergency trip time (s),20,425.95,387.79875,455.80125,mean_of_runs
S2,cloud_maxpressure,completed_trips,Completed trips,20,1992.6,1989.2,1996.05,mean_of_runs
S2,cloud_maxpressure,max_total_queue,Maximum total queue,20,133.85,124.5,144.25124999999997,mean_of_runs
S2,cloud_maxpressure,max_spillback_duration_s,Maximum spillback duration (s),20,0.0,0.0,0.0,mean_of_runs
S2,cloud_maxpressure,wan_application_bytes,WAN application bytes/h,20,8777560.1,8777012.64625,8778098.452499999,mean_of_runs
S2,cloud_maxpressure,peer_application_bytes,Peer application bytes/h,20,0.0,0.0,0.0,mean_of_runs
